Group_Number,Sentences,GPT-5_Label,GPT-5_Label1,LLama-3_Label,LLama-3_Label1,Meriem,Simone,Simone_notes,curation
51,"The
supernatural being had not been touched after he fell. And the village
was deserted, the huts gaped black, rotting, all askew within the
fallen enclosures. A calamity had come to it, sure enough.",YES,NO,YES,NO,NO,NO,supernatural being? (but referring to previous captain),NO
52,"The people
had vanished. Mad terror had scattered them, men, women, and children,
through the bush, and they had never returned. What became of the hens
I don’t know either.",YES,NO,YES,NO,NO,NO,,NO
53,"I should think the cause of progress got them,
anyhow. However, through this glorious affair I got my appointment,
before I had fairly begun to hope for it. “I flew around like mad to get ready, and before forty-eight hours I
was crossing the Channel to show myself to my employers, and sign the
contract.",NO,NO,NO,NO,NO,NO,cause of progress? Unclear,NO
54,"In a very few hours I arrived in a city that always makes me
think of a whited sepulchre. Prejudice no doubt. I had no difficulty in
finding the Company’s offices.",YES,NO,YES,YES,NO,YES,prejudice is mentioned explicitely,NO
55,"It was the biggest thing in the town,
and everybody I met was full of it. They were going to run an over-sea
empire, and make no end of coin by trade. “A narrow and deserted street in deep shadow, high houses, innumerable
windows with venetian blinds, a dead silence, grass sprouting between
the stones, imposing carriage archways right and left, immense double
doors standing ponderously ajar.",YES,YES,NO,NO,NO,NO,empire just mentioned,NO
56,"I slipped through one of these cracks,
went up a swept and ungarnished staircase, as arid as a desert, and
opened the first door I came to. Two women, one fat and the other slim,
sat on straw-bottomed chairs, knitting black wool. The slim one got up
and walked straight at me—still knitting with downcast eyes—and only
just as I began to think of getting out of her way, as you would for a
somnambulist, stood still, and looked up.",YES,NO,NO,NO,NO,YES,"very much implied, but his attitude towards her is weird",NO
57,"Her dress was as plain as an
umbrella-cover, and she turned round without a word and preceded me
into a waiting-room. I gave my name, and looked about. Deal table in
the middle, plain chairs all round the walls, on one end a large
shining map, marked with all the colours of a rainbow.",NO,NO,NO,NO,NO,NO,,NO
58,"There was a vast
amount of red—good to see at any time, because one knows that some real
work is done in there, a deuce of a lot of blue, a little green, smears
of orange, and, on the East Coast, a purple patch, to show where the
jolly pioneers of progress drink the jolly lager-beer. However, I
wasn’t going into any of these. I was going into the yellow.",YES,YES,YES,YES,YES,YES,,YES
59,"Dead in
the centre. And the river was there—fascinating—deadly—like a snake. Ough!",YES,NO,YES,NO,NO,NO,Talking about the Congo river on a map,NO
60,"A door opened, a white-haired secretarial head, but wearing a
compassionate expression, appeared, and a skinny forefinger beckoned me
into the sanctuary. Its light was dim, and a heavy writing-desk
squatted in the middle. From behind that structure came out an
impression of pale plumpness in a frock-coat.",NO,NO,NO,NO,NO,NO,,NO
61,"The great man himself. He
was five feet six, I should judge, and had his grip on the handle-end
of ever so many millions. He shook hands, I fancy, murmured vaguely,
was satisfied with my French.",NO,NO,NO,YES,NO,NO,,NO
